Munip,CodIBGE,Index,DtInicial,DtFinal,Regiao,Estado,Cidade,Produto,NmPostPesq,UnidMedida,PcMedRev,PcDevRev,PcMinRev,PcMaxRev,MgMedRev,CfVarRev,PcMedDist,PcDevDist,PcMinDist,PcMaxDist,MgMedDist,CfVarDist,Periodo,Combust,TipoRelat,DistMean,DistDev,DistMin,DistMax,RefinMean,RefinDev,RefinMin,RefinMax
DRACENA,3514403,39285,2020-04-26,2020-05-02,SUDESTE,SAO PAULO,DRACENA,GASOLINA COMUM,10,R$/l,3.641,0.128377221932519,3.399,3.79,0.31,0.035,3.331,0.05727564927611,3.29,3.371,0.017,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,175.42641902904802,66.25720208962608,74.86298600566965,239.5475170586757,1259.415162561821,719.7508003110181,474.4769432136408,2438.3208504289114
PRESIDENTE VENCESLAU,3541505,39485,2020-04-26,2020-05-02,SUDESTE,SAO PAULO,PRESIDENTE VENCESLAU,GASOLINA COMUM,10,R$/l,3.863,0.086104329482062,3.78,3.999,0.718,0.022,3.145,0.035355339059327,3.12,3.17,0.011,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,145.54462216506298,62.89234040573136,55.60281557131511,236.65879593274656,1279.6604977318295,737.6906577813301,479.48956143022974,2491.353461549473
CHAPECÓ,4204202,39255,2020-04-26,2020-05-02,SUL,SANTA CATARINA,CHAPECO,GASOLINA COMUM,9,R$/l,3.881,0.153676608499797,3.499,3.999,0.638,0.04,3.243,0.080822305089622,3.1857,3.3,0.025,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,165.6104285353279,68.86682308791885,7.540999770827154,220.81078549072657,1463.2304612482983,963.6560914454175,337.9676775238197,2993.9791830596946
CONCÓRDIA,4204301,39261,2020-04-26,2020-05-02,SUL,SANTA CATARINA,CONCORDIA,GASOLINA COMUM,6,R$/l,3.827,0.153341992509119,3.669,3.999,NA,0.04,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,167.04331436916496,68.99966093947191,30.483891024905272,244.74029289000694,1432.6515482658313,973.6691178984103,304.30837459815183,2974.7628289743557
XANXERÊ,4219507,39605,2020-04-26,2020-05-02,SUL,SANTA CATARINA,XANXERE,GASOLINA COMUM,4,R$/l,3.912,0.053011791141217,3.869,3.989,NA,0.014,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,171.5225058341026,66.7153416135298,40.2222412292504,230.47842735167274,1438.7389386769896,957.4092606811411,336.83726153327007,2960.9454965521327
ALEGRETE,4300406,39153,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,ALEGRETE,GASOLINA COMUM,7,R$/l,4.349,0.047118391920171,4.299,4.399,0.903,0.011,3.446,0.217016381870125,3.2975,3.6954,0.063,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,275.60654614402694,77.15138597720141,196.36076368454584,423.4926997940009,1820.3844697895995,1013.2529559525508,434.2431081912884,3414.1008094916297
BAGÉ,4301602,39187,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,BAGE,GASOLINA COMUM,9,R$/l,4.707,0.071766016408263,4.638,4.799,NA,0.015,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,258.4492578400317,100.22225676701788,3.261709176047398,326.7285456703978,1811.8274267153158,1072.2024365124921,207.17565634379082,3467.8865588701015
CACHOEIRA DO SUL,4303004,39223,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,CACHOEIRA DO SUL,GASOLINA COMUM,8,R$/l,4.051,0.054663744840616,3.96,4.099,0.648,0.013,3.403,0.09616652224137,3.335,3.471,0.028,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,144.96289637552786,31.967959224843472,86.43194511870938,166.780988525632,1648.301146386073,1057.1027945517765,168.4789860889618,3285.999737462859
CRUZ ALTA,4306106,39274,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,CRUZ ALTA,GASOLINA COMUM,9,R$/l,4.21,0.204171768643736,3.919,4.399,0.501,0.048,3.709,0.04754597774786,3.6694,3.7672,0.013,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,112.43124426855243,74.14365830059299,4.557972923736054,249.99262193578602,1605.8825063033325,1006.9881492071834,273.9578391077288,3189.738815988302
ERECHIM,4307005,39288,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,ERECHIM,GASOLINA COMUM,11,R$/l,4.101,0.309170503120851,3.799,4.69,0.27,0.075,3.831,0.446603570481324,3.3927,4.2742000000000004,0.117,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,154.2791550716521,55.500328656266376,62.2263226340343,202.59097174456903,1468.3584492898765,985.4158219121094,270.92590067062343,3025.5486987913
