StationID,RzSocial,Endereco,Bairro,Bandeira,PcVenda,PcCompra,ModCompra,Fornecedor,DtColeta,Cidade,Produto,UnidMedida,DtInicial,DtFinal,Estado,CodIBGE,Place,Lon,Lat,DistMean,DistDev,DistMin,DistMax,RefinMean,RefinDev,RefinMin,RefinMax
1,AUTO POSTO MENCOROSSI LTDA,"AVENIDA AIRTON PRETINI, 43",Penha,BRANCA,3.279,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA AIRTON PRETINI, 43, Penha, SAO PAULO, SAO PAULO, BRAZIL",-46.55426869999999,-23.5294273,47046.77842493985,37818.05986306779,8729.371708164332,107250.41137790514,1004598.6422308779,904749.3105273118,14270.683939356673,2677618.949598911
2,POSTO DE SERVICOS VILA RICA LTDA,"AVENIDA DEP. CANTIDIO SAMPAIO, 1000",Vila Rica,BRANCA,3.349,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA DEP. CANTIDIO SAMPAIO, 1000, Vila Rica, SAO PAULO, SAO PAULO, BRAZIL",-46.6770672,-23.4686788,49858.77358369111,33669.12645311886,14818.212980715465,95103.57266152228,1006579.724369019,901299.9124313258,27465.68991204513,2664968.693308608
3,AUTO POSTO MMS LTDA,"AVENIDA GENERAL PENHA BRASIL, 309 LETRA A",Vila Angelica,BRANCA,3.399,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA GENERAL PENHA BRASIL, 309 LETRA A, Vila Angelica, SAO PAULO, SAO PAULO, BRAZIL",-46.6665068,-23.4702189,49422.28214292613,33659.15480296632,15804.657114993804,95798.14787538584,1006305.018566784,901450.044544613,26575.850012018647,2665719.3946342915
4,AUTO POSTO PANTERA LTDA,"AVENIDA CASSANDOCA, 930",Moóca,BRANCA,3.399,NA,"NA","NA",2020-04-27,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA CASSANDOCA, 930, Moóca, SAO PAULO, SAO PAULO, BRAZIL",-46.589438,-23.5554494,47441.14131427205,38772.17359608593,5344.040415591474,107684.6306265163,1006186.7421078364,905631.3833556382,14375.077883980874,2677956.2429312933
5,POSTO CASTILHO LIMITADA,"RUA DO ORATORIO, 3286",Vila Prudente,BRANCA,3.399,NA,"NA","NA",2020-04-27,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA DO ORATORIO, 3286, Vila Prudente, SAO PAULO, SAO PAULO, BRAZIL",-46.57938559999999,-23.5744975,47461.81183007152,39878.08309119749,3233.474577611691,110017.93928350939,1006397.1845928265,906492.8563845654,12256.195642812632,2680276.153704557
6,AUTO POSTO LARGO DE PINHEIROS LTDA,"RUA DOS PINHEIROS, 1501",Jardim das Rosas - Pinheiros,PETROBRAS DISTRIBUIDORA S.A.,3.399,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA DOS PINHEIROS, 1501, Jardim das Rosas - Pinheiros, SAO PAULO, SAO PAULO, BRAZIL",-46.6922291,-23.5681207,50823.93403886388,37883.17477732294,11743.267137325569,104007.45193684095,1009624.1052443152,905201.3367889937,22824.87316425511,2673188.7551257913
7,AUTO POSTO ANA CAROLINA LTDA.,"AVENIDA SAO MIGUEL, 6337",São Miguel Paulista,RAIZEN,3.399,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA SAO MIGUEL, 6337, São Miguel Paulista, SAO PAULO, SAO PAULO, BRAZIL",-46.473225,-23.5040796,47342.93012797997,37542.79454353885,5274.934772302254,110019.35016671612,1002171.3838577236,903821.3549533462,15095.498755841276,2680023.0203743135
8,AUTO POSTO LIK LTDA,"RUA FERNANDO FALCAO, 537",Mooca,IPIRANGA,3.399,NA,"NA","NA",2020-04-27,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA FERNANDO FALCAO, 537, Mooca, SAO PAULO, SAO PAULO, BRAZIL",-46.5859617,-23.5584477,47411.40524726373,38971.67284993156,4985.412890174758,108154.31532494907,1006165.6346647309,905781.8723866151,13889.464801439934,2678430.9303826056
9,AUTO POSTO DE SERVICOS GIRASSOL LTDA,"RUA INACIO PEREIRA DA ROCHA, 50",Pinheiros,TOTAL BRASIL,3.399,NA,"NA","NA",2020-04-28,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA INACIO PEREIRA DA ROCHA, 50, Pinheiros, SAO PAULO, SAO PAULO, BRAZIL",-46.6877125,-23.558753,50479.82753500135,37625.92884787608,11709.045845924733,103294.20885375576,1009218.8906134638,904884.0565427376,22784.178097780008,2672591.0885454942
10,AUTO POSTO LINDOIA LTDA,"RUA MARIA DAFFRE, 415",Vl Prudente,BRANCA,3.449,3.036,CIF,FERA,2020-04-27,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA MARIA DAFFRE, 415, Vl Prudente, SAO PAULO, SAO PAULO, BRAZIL",-46.58795730000001,-23.5851508,47690.268504800224,40319.05313475241,2068.0521392500336,110567.1386461287,1006928.4881453123,906853.6423939706,12348.536317384182,2680753.505211294
11,AUTO POSTO RIMINI LTDA,"AVENIDA MARECHAL TITO, 5350",Itaim Paulista,BRANCA,3.469,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA MARECHAL TITO, 5350, Itaim Paulista, SAO PAULO, SAO PAULO, BRAZIL",-46.3932349,-23.4968524,49552.03761419562,37474.76485118677,5717.2676375309065,114790.80553749792,1000611.6741772433,903288.3978316443,18304.857554362126,2684039.8855287847
12,AUTO POSTO EWAMARO LTDA,"AVENIDA CONDESSA ELIZABETH DE ROBIANO, S/N ESQ.C/R.ANT.MACEDO, 65",Vila Guilherme,IPIRANGA,3.469,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA CONDESSA ELIZABETH DE ROBIANO, S/N ESQ.C/R.ANT.MACEDO, 65, Vila Guilherme, SAO PAULO, SAO PAULO, BRAZIL",-46.5748378,-23.5268157,47178.55742232641,37474.10957787909,8532.154190187952,105824.5617429902,1005076.721433317,904520.4720366488,15682.005322781784,2676188.626893706
13,AUTO POSTO EUROPA GARDEN LTDA,"AVENIDA MARECHAL TITO, 7059",Cidade Nitro Operario,RAIZEN,3.479,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA MARECHAL TITO, 7059, Cidade Nitro Operario, SAO PAULO, SAO PAULO, BRAZIL",-46.3822333,-23.4865303,49940.08991377694,37109.91455575755,6211.504006605256,114727.71412872877,1000205.8411311677,902786.5036380982,19860.19444666396,2683747.9091971833
