CodIBGE,PIB_2016,PIB_2017,PIBCap2016,PIBCap2017,ChgPIB,ChgPIBCap,PopEst
3514403,1127243.157,1166834.864,24458.5,25188.56,0.035122596889714,0.02984892777562,46793
3541505,709553.07,721893.445,17974.29,18255.45,0.017391757603135,0.015642342479175,39516
4204202,8321372.066,8890178.313,39710.11,41683.33,0.068354862934691,0.049690620348319,220367
4204301,2929908.789,3178921.518,40022.8,43094.67,0.084989925261459,0.07675300078955,74641
4219507,1530244.847,1603411.064,31193.2,32237.14,0.047813405249127,0.033466909454625,50982
4300406,1902735.547,2019527.096,24317.97,25890.38,0.061380862508267,0.064660413677622,73589
4301602,2846230.296,3006499.126,23332.43,24601.29,0.056309157493417,0.054381819639018,121143
4303004,2277151.443,2298799.983,26602.24,26888.12,0.009506851231414,0.010746463455709,82201
4306106,3160653.782,3188890.151,49684.1,50248.02,0.008933711487417,0.011350109994948,60299
4307005,4399222.025,4484451.988,42749.91,43354.43,0.01937387167905,0.014140848483658,105862
4310207,3096633.135,3194967.497,37268.87,38341.14,0.031755250852471,0.028771196980214,83475
4311403,3431938.913,3662789.915,43347.89,45888.7,0.067265475246529,0.058614386997845,84014
4314100,8342537.9,8584861.142,42177.06,43183.62,0.029046705559468,0.023865105818187,203275
4314407,8103229.831,8573354.702,23579.82,24894.68,0.058016973577804,0.055762088090579,342405
4315602,9661298.559,9215700.567,46305.85,44014.66,-0.046121956513279,-0.049479493411739,211005
4316808,8180549.543,8238767.068,64528.1,64653.78,0.007116578744984,0.001947678608234,130416
4316907,6703663.024,7152148.855,24173.98,25686.04,0.066901607284609,0.062549071356889,282123
4317202,2597035.275,2810212.444,35819.2,38626.76,0.082084818428198,0.078381426720865,73254
4317509,2212877.895,2318885.415,27996.94,29315.5,0.047904821246362,0.047096575554328,77593
4318309,1607637.929,1708474.559,25569.2,27137.17,0.062723470366691,0.06132260688641,62105
4318903,1139003.035,1134868.032,32428.98,32372.08,-0.003630370484483,-0.001754603444203,33468
4322400,2609549.721,2807638.844,20116.79,21633.17,0.075909311635607,0.075378825349372,126970
5002704,25451899.094,27034851.035,29458.83,30924.89,0.062193863615197,0.0497664028069,895982
5003207,2630591.39,2869213.193,24068.95,26107.73,0.090710326167379,0.084705813922086,111435
5003306,816874.95,839888.765,24581.71,25204.48,0.028172996368661,0.025334689897489,33543
5003702,7827594.252,8327408.008,36325.3,38187.03,0.063852793068866,0.051251607006687,222949
5006200,1824707.757,2007864.5,35250.52,38154.19,0.100375932692437,0.082372401882299,54374
5006606,2583870.685,2641613.35,29307.55,29484.92,0.022347350947248,0.006052024137125,92526
5008305,9233556.733,10131704.503,79902.01,86244.15,0.097269968222548,0.079373973195418,121388
5102504,1714990.75,1816006.268,18870.73,19896.86,0.058901494366661,0.054376804712907,94376
5103403,22215195.806,23301195.038,37950.89,39485.65,0.048885422459643,0.040440685317261,612547
5107602,9488929.461,9598521.754,43348.44,43175.13,0.011549489692218,-0.003998067750535,232491
5108402,7311888.916,7892653.554,26947.43,28803.94,0.079427442713081,0.068893768348225,284971
5213103,2323571.531,2412897.961,37706.24,38452.56,0.038443589451949,0.019793010387671,66801
2910727,2538386.205,2628453.793,22212.96,22798.63,0.035482224029814,0.026366139406905,113380
2913606,3879744.655,3842397.264,21770.63,21789.59,-0.009626249746067,8.70898086091e-4,162327
2914802,3864775.056,3984074.249,17536.39,18023.73,0.030868340659255,0.027790212238665,213223
2915601,834854.152,873032.925,12404.04,12961.47,0.04573106920357,0.044939390714638,64486
2925105,469013.58,444790.635,9611.33,9103.18,-0.051646574924334,-0.052869894176977,46871
2925303,2551779.22,2820578.219,17306.77,18888.98,0.105337874410624,0.091421449525243,148686
2931350,2262398.318,2311886.164,14156.53,14298.26,0.021874064176174,0.01001163420697,160487
2933307,6227313.965,6482662.68,17994.43,18589.99,0.041004631601227,0.033096908321075,338480
3101607,2296070.72,2664045.632,28982.74,33422.98,0.160262882495187,0.153202906281463,79996
3103504,3851059.555,4091891.212,32951.37,34840.91,0.062536466538752,0.057343291037672,117267
3104007,4764778.262,5141110.683,46131.44,49299.6,0.078982147816053,0.068676806967222,106229
3105608,2562536.596,2683459.069,18865.9,19631.86,0.047188583838668,0.040600236405366,137313
3106200,88397460.694,88951167.805,35169.76,35245.02,0.006263835031605,0.002139906556087,2512070
3106705,25156240.333,23088152.506,59561.98,54052.13,-0.082209734031165,-0.092506159130372,439340
3107406,1150400.834,1211510.314,23170.21,24209.87,0.053120163158713,0.044870547137898,50605
3111200,936136.064,983869.024,17248.97,18066.57,0.050989339942789,0.047399931706067,54029
3113404,1527763.497,1608693.255,16725.75,17516.07,0.052972700394346,0.047251692749204,92062
